,precision,recall,f1-score,support
Benign,0.9730033745781778,0.8444516758867556,0.9041811846689896,6146.0
Brute Force,0.9188741721854304,0.75,0.8258928571428571,740.0
DDoS,0.8923766816143498,0.5363881401617251,0.67003367003367,371.0
DoS,0.6607142857142857,0.925,0.7708333333333334,360.0
Mirai Botnet,1.0,0.9974554707379135,0.9987261146496815,393.0
Recon,0.4671163575042159,0.7891737891737892,0.586864406779661,351.0
Spoofing,0.35,0.8521739130434782,0.4962025316455696,345.0
Web Attack,0.4438860971524288,0.6955380577427821,0.5419222903885481,381.0
accuracy,0.8259051392098602,0.8259051392098602,0.8259051392098602,0.8259051392098602
macro avg,0.713246371093611,0.7987726308433055,0.7243320485802888,9087.0
weighted avg,0.8887204758236844,0.8259051392098602,0.8441170686405369,9087.0
