model,seed,acc,prec,rec,f1,fpr,auc
XGBoost,1,93.96825396825396,88.41791037967948,88.50992063492063,88.38164193727819,1.3070010363824798,0.9901720933165596
RandomForest,1,92.56704980842912,85.30675188700431,88.8913139329806,86.77805117019457,1.347365406643757,0.9871534281142774
LSTM,1,76.83503906679873,65.67522556952453,74.7897658558808,67.286698041193,3.5576145613630143,0.9656240873529665
Transformer,1,78.73885770881479,69.56263158581672,73.58125069254481,67.95849276076038,3.657951538775904,0.959838823112285
DEF,1,82.43644767249918,71.58756705638123,79.95771295869383,72.08302881702322,2.688209794111416,0.9790069358075658
GCN,1,65.73617952928298,43.66809764813353,50.325176366843024,44.0100975992965,5.151570937653411,0.92205343033654
XGBoost,7,94.00109469074987,88.51422315487471,88.60251322751323,88.47273430756265,1.3027055037364317,0.9902848363476737
RandomForest,7,92.51231527093596,85.00729209603786,88.79475308641975,86.56078812412609,1.3187967053946437,0.9870022928988319
LSTM,7,78.08957851876308,67.0872604864619,74.63808371486806,67.90017098276834,3.513224174634222,0.964621068579846
Transformer,7,82.40343347639485,73.06332535171516,73.76001511165147,69.98607436476452,3.070629177878494,0.9710585749013179
DEF,7,80.99482777594366,68.20682909253168,78.84902040418491,70.86087053544611,2.839672927726544,0.9788519679830398
GCN,7,62.34263820470717,45.52235212782952,49.016975308641975,41.43997852031381,5.390007091038019,0.9167610620337396
XGBoost,13,94.1871921182266,88.95299049863019,88.69400352733686,88.71544808168643,1.2724094983545158,0.9899937810557594
RandomForest,13,92.56704980842912,85.14894393228278,88.80467372134038,86.65950390329283,1.3265241186203385,0.9873974816136628
LSTM,13,79.97138769670958,67.52868567002513,76.4296648205813,69.44843027424817,3.142155710808904,0.9717440223308631
Transformer,13,79.08000440189281,67.79898295154848,76.94838902732842,69.0295489039365,3.2019207662187537,0.9716623898770822
DEF,13,82.62352811709034,70.27866413246163,77.46528901710789,71.70449336519002,2.792050083512413,0.9773588262583068
GCN,13,55.960591133004925,41.205256602919526,46.5028659611993,37.39325154983412,6.242636229749632,0.9012951040307515
XGBoost,42,94.04488232074439,88.52219621917881,88.52380952380953,88.43489192302044,1.2850688194330806,0.9902031109440086
RandomForest,42,92.46852764094143,85.03643098328257,88.64241622574956,86.52719089185229,1.3542973508609248,0.9873313311324275
LSTM,42,80.21349180147463,66.85547424706617,76.04127868225956,69.28144818366043,3.1281228913607606,0.9691938572002932
Transformer,42,78.98096181357984,70.260702179508,76.13064017480211,70.09542161858606,3.338433250303568,0.9715033173226966
DEF,42,82.59051392098601,71.3246371093611,79.87726308433055,72.43320485802887,2.6743139247328256,0.9797129502902338
GCN,42,57.263273125342096,41.708771956654935,44.39969135802469,36.033090801981324,6.399752722776777,0.8981194106848118
XGBoost,101,94.03393541324576,88.5498424593887,88.52182539682539,88.43673145829513,1.2894779905089182,0.9899241745232308
RandomForest,101,92.50136836343734,85.00546209756348,88.6194885361552,86.4701180754728,1.3261832033309697,0.9868526396728137
LSTM,101,80.15846814130076,66.36240092422636,76.27639220842862,69.17826554727357,3.111665938233145,0.9692125284575777
Transformer,101,79.76229778804887,69.52634970087534,76.7132753170933,69.8574421375313,3.1779147805271655,0.9722531630965827
DEF,101,82.4254429404644,72.79598505755102,79.70430763173562,72.04193949823838,2.697620587702561,0.9791950165542618
GCN,101,54.47181171319102,38.18841203442669,44.87566137566138,35.52860519452056,6.452253677339588,0.8909113967295798
