,precision,recall,f1-score,support
Analysis,0.3134920634920635,0.4831804281345566,0.3802647412755716,327.0
Backdoor,0.2318840579710145,0.26936026936026936,0.24922118380062305,297.0
DoS,0.578125,0.37755102040816324,0.4567901234567901,392.0
Exploits,0.6910569105691057,0.6505102040816326,0.6701708278580815,392.0
Fuzzers,0.7590361445783133,0.8035714285714286,0.7806691449814126,392.0
Generic,0.9403409090909091,0.8443877551020408,0.8897849462365591,392.0
Normal,0.9979106396657024,0.9857120177806001,0.9917738199824295,6299.0
Reconnaissance,0.9035812672176309,0.8367346938775511,0.8688741721854305,392.0
Shellcode,0.7632508833922261,0.9557522123893806,0.8487229862475442,226.0
Worms,0.68,0.68,0.68,25.0
accuracy,0.8820888986205386,0.8820888986205386,0.8820888986205386,0.8820888986205386
macro avg,0.6858677875976966,0.6886760029705623,0.6816271946024443,9134.0
weighted avg,0.8938684321886287,0.8820888986205386,0.8858709569867231,9134.0
