,precision,recall,f1-score,support
Analysis,0.4152671755725191,0.8318042813455657,0.5539714867617108,327.0
Backdoor,0.373134328358209,0.25252525252525254,0.30120481927710846,297.0
DoS,0.5020576131687243,0.3128205128205128,0.3854660347551343,390.0
Exploits,0.6348773841961853,0.6020671834625323,0.6180371352785146,387.0
Fuzzers,0.6857142857142857,0.8082901554404145,0.7419738406658739,386.0
Generic,0.9595015576323987,0.7857142857142857,0.8639551192145862,392.0
Normal,0.9995210727969349,0.9856738035264484,0.9925491439441978,6352.0
Reconnaissance,0.6960352422907489,0.8081841432225064,0.7479289940828402,391.0
Shellcode,0.6989795918367347,0.6116071428571429,0.6523809523809524,224.0
Worms,0.7142857142857143,0.4166666666666667,0.5263157894736842,24.0
accuracy,0.8774263904034897,0.8774263904034897,0.8774263904034897,0.8774263904034897
macro avg,0.6679373965852455,0.6415353427581328,0.6383783315834604,9170.0
weighted avg,0.8859046372396991,0.8774263904034897,0.8768885772010305,9170.0
