model,seed,acc,prec,rec,f1,fpr,auc
LSTM,1,84.91821155943293,53.96816842901965,53.84737514174604,52.53119333230697,1.615006878632205,0.969111612296702
Transformer,1,86.83751363140676,61.04543085856133,63.7978227214793,60.90700011643183,1.3742553888866116,0.9779736522897275
DEF,1,87.12104689203926,64.57538570566503,63.91476145366796,63.37502153722302,1.3404758962344598,0.9790736789472494
GCN,1,76.3958835121524,30.313978467826363,32.12513727712447,30.946729919546527,4.237460628359076,0.8938463291244693
XGBoost,1,88.25268228596453,68.83890342458517,68.2822983260293,67.9748117984568,1.25753022226351,0.9814209025214145
RandomForest,1,88.2636303919422,67.87322684370304,67.90320504711879,67.33706611453275,1.2206326728636956,0.9766001236695878
XGBoost,7,88.20888986205387,69.27424387127945,68.9205204336876,68.50891138633736,1.264535199299877,0.9815253282834482
RandomForest,7,88.27457849791986,68.62875879651489,67.96123633830078,67.6750852122356,1.219491667788729,0.9784851379032028
XGBoost,13,88.37311145171886,69.44774456872462,68.58837898059485,68.38751732181663,1.2427116741726416,0.9814264391001718
RandomForest,13,88.2964747098752,68.61311356067208,67.99494816638484,67.6844940225202,1.2172569806328752,0.9785377771659032
XGBoost,42,88.20888986205387,68.58677875976966,68.86760029705623,68.16271946024443,1.25499135813985,0.9815785510809508
RandomForest,42,88.30742281585286,69.45874513804362,67.99157911559006,68.00604527622832,1.2161049882575472,0.9764836573462368
XGBoost,101,88.24173417998686,68.81020986786345,68.55597836548175,68.08403397733916,1.2492002531702973,0.9812972479537978
RandomForest,101,88.37311145171886,68.54436283832467,68.1867502602184,67.78623156794568,1.2092066934782455,0.9765187132066652
LSTM,7,84.12213740458016,52.54328040125487,51.8071407763127,51.68567368779661,1.7452507604454899,0.9685166644478921
Transformer,7,86.52126499454744,63.00887907502079,62.79429196896872,61.40298144586418,1.442258316982271,0.9773920555155678
GCN,7,76.41777972410773,30.816383895792026,32.415134548313176,31.035275620154255,4.265820094404547,0.8888186806137309
DEF,7,87.16466739367503,65.5818046111478,63.93453781776779,63.58881375911013,1.3619138606453263,0.978749358398081
LSTM,13,84.65648854961833,53.698741021972054,52.986339888176644,52.42030274525251,1.689801694545259,0.9690906990107837
Transformer,13,87.3391494002181,65.14844393230693,62.39858328881988,62.498104951527445,1.3740654563218286,0.978395650493716
GCN,13,76.40683161813007,32.189320270397644,31.22994535357885,29.924730476655604,4.517691702649025,0.8965692766228033
DEF,13,87.21919302071974,64.86644708689464,63.55063191463224,63.289871506815665,1.3328145390784714,0.9784959956610564
LSTM,42,84.7546346782988,61.012287092561124,52.7094766408575,52.237457467056494,1.6117193346957277,0.9704206060006916
Transformer,42,86.33587786259542,60.542344925791404,57.380650718085356,57.2223522863959,1.4353389190719055,0.9770263736334929
GCN,42,76.52726078388439,30.29177886224871,32.09466144922183,30.31646727557241,4.320956934247204,0.891723750447715
DEF,42,87.74263904034896,66.79373965852456,64.15353427581329,63.83783315834604,1.281265093191614,0.9797571779228201
LSTM,101,84.85278080697928,53.539004016814026,53.63392291038633,52.51754786535903,1.6258208133946226,0.9708473342996197
Transformer,101,86.4340239912759,62.4647467060256,61.317429167963446,60.78203212121974,1.4338860666889528,0.9776351344292273
GCN,101,76.45062404204073,31.349986637263804,31.769646556368723,31.030503967729643,4.4417314593491035,0.8927290043397879
DEF,101,87.74263904034896,66.64922570095251,65.15496530317984,64.68403978802864,1.2909190904240788,0.9796299182642313
