model,seed,acc,prec,rec,f1,fpr,auc
XGBoost,1,88.25268228596453,68.83890342458517,68.2822983260293,67.9748117984568,1.25753022226351,0.9814209025214143
RandomForest,1,88.2636303919422,67.87322684370304,67.90320504711879,67.33706611453275,1.2206326728636956,0.9766001236695878
XGBoost,7,88.20888986205387,69.27424387127945,68.9205204336876,68.50891138633736,1.264535199299877,0.9815253282834482
RandomForest,7,88.27457849791986,68.62875879651489,67.96123633830078,67.6750852122356,1.219491667788729,0.9784851379032027
XGBoost,13,88.37311145171886,69.44774456872462,68.58837898059485,68.38751732181663,1.2427116741726416,0.9814264391001718
RandomForest,13,88.2964747098752,68.61311356067208,67.99494816638484,67.6844940225202,1.2172569806328752,0.9785377771659031
XGBoost,42,88.20888986205387,68.58677875976966,68.86760029705623,68.16271946024443,1.25499135813985,0.9815785510809507
RandomForest,42,88.30742281585286,69.45874513804362,67.99157911559006,68.00604527622832,1.2161049882575472,0.9764836573462368
XGBoost,101,88.24173417998686,68.81020986786345,68.55597836548175,68.08403397733916,1.2492002531702973,0.9812972479537978
RandomForest,101,88.37311145171886,68.54436283832467,68.1867502602184,67.78623156794568,1.2092066934782455,0.9765187132066652
