alpha,beta,gamma,ARR,recall
0.0,0.0,1.0,2.27,68.77
0.0,0.1,0.9,2.38,68.55
0.0,0.2,0.8,2.59,67.8
0.0,0.3,0.7,3.33,65.86
0.0,0.4,0.6,7.0,58.24
0.0,0.5,0.5,14.91,43.89
0.0,0.6,0.4,20.68,34.9
0.0,0.7,0.3,23.49,31.02
0.0,0.8,0.2,26.44,27.86
0.0,0.9,0.1,30.95,24.77
0.0,1.0,0.0,35.28,22.26
0.1,0.0,0.9,5.18,68.77
0.1,0.1,0.8,5.18,68.8
0.1,0.2,0.7,4.7,68.46
0.1,0.3,0.6,5.14,66.82
0.1,0.4,0.5,8.32,60.98
0.1,0.5,0.4,17.15,46.26
0.1,0.6,0.3,26.14,35.72
0.1,0.7,0.2,33.02,31.74
0.1,0.8,0.1,39.69,28.77
0.1,0.9,0.0,51.64,25.64
0.2,0.0,0.8,12.56,69.02
0.2,0.1,0.7,12.61,68.91
0.2,0.2,0.6,13.3,68.83
0.2,0.3,0.5,16.39,68.17
0.2,0.4,0.4,26.06,63.07
0.2,0.5,0.3,43.28,48.96
0.2,0.6,0.2,62.51,37.16
0.2,0.7,0.1,72.54,32.19
0.2,0.8,0.0,77.78,29.51
0.3,0.0,0.7,26.68,69.02
0.3,0.1,0.6,39.71,69.05
0.3,0.2,0.5,49.44,68.98
0.3,0.3,0.4,61.75,68.62
0.3,0.4,0.3,68.29,65.15
0.3,0.5,0.2,76.34,51.07
0.3,0.6,0.1,84.15,39.04
0.3,0.7,0.0,87.21,33.06
0.4,0.0,0.6,61.9,69.12
0.4,0.1,0.5,67.94,69.12
0.4,0.2,0.4,68.0,69.05
0.4,0.3,0.3,68.14,68.86
0.4,0.4,0.2,69.18,66.89
0.4,0.5,0.1,75.16,53.66
0.4,0.6,0.0,83.14,41.31
0.5,0.0,0.5,67.91,69.12
0.5,0.1,0.4,67.97,69.1
0.5,0.2,0.3,68.02,69.05
0.5,0.3,0.2,68.23,68.81
0.5,0.4,0.1,68.89,67.72
0.5,0.5,0.0,73.34,57.29
0.6,0.0,0.4,67.95,69.12
0.6,0.1,0.3,67.96,69.12
0.6,0.2,0.2,68.07,69.0
0.6,0.3,0.1,68.29,68.73
0.6,0.4,0.0,68.75,68.09
0.7,0.0,0.3,67.95,69.12
0.7,0.1,0.2,68.04,69.07
0.7,0.2,0.1,68.14,68.95
0.7,0.3,0.0,68.37,68.58
0.8,0.0,0.2,68.01,69.12
0.8,0.1,0.1,68.08,69.0
0.8,0.2,-0.0,68.25,68.81
0.9,0.0,0.1,68.06,69.05
0.9,0.1,-0.0,68.13,68.97
1.0,0.0,0.0,68.09,69.0
