alpha,beta,gamma,ARR,recall
0.0,0.0,1.0,16.98,46.56
0.0,0.1,0.9,17.18,46.54
0.0,0.2,0.8,24.9,44.58
0.0,0.3,0.7,52.48,38.45
0.0,0.4,0.6,66.35,35.07
0.0,0.5,0.5,73.95,36.1
0.0,0.6,0.4,78.26,43.05
0.0,0.7,0.3,80.58,48.95
0.0,0.8,0.2,78.03,62.91
0.0,0.9,0.1,79.23,63.65
0.0,1.0,0.0,80.2,63.29
0.1,0.0,0.9,17.3,46.75
0.1,0.1,0.8,37.2,46.66
0.1,0.2,0.7,72.06,46.0
0.1,0.3,0.6,84.43,44.27
0.1,0.4,0.5,85.46,48.16
0.1,0.5,0.4,84.82,52.49
0.1,0.6,0.3,83.79,56.08
0.1,0.7,0.2,80.25,66.57
0.1,0.8,0.1,80.65,65.94
0.1,0.9,0.0,80.65,65.85
0.2,0.0,0.8,76.43,46.93
0.2,0.1,0.7,81.53,47.95
0.2,0.2,0.6,81.77,53.3
0.2,0.3,0.5,82.45,56.97
0.2,0.4,0.4,82.22,60.13
0.2,0.5,0.3,79.14,69.62
0.2,0.6,0.2,77.7,74.26
0.2,0.7,0.1,78.78,71.4
0.2,0.8,0.0,79.47,69.49
0.3,0.0,0.7,80.12,50.23
0.3,0.1,0.6,79.2,58.07
0.3,0.2,0.5,79.18,61.18
0.3,0.3,0.4,78.66,66.31
0.3,0.4,0.3,74.88,80.55
0.3,0.5,0.2,75.56,79.71
0.3,0.6,0.1,76.14,78.46
0.3,0.7,0.0,77.03,76.31
0.4,0.0,0.6,77.65,60.48
0.4,0.1,0.5,77.62,63.73
0.4,0.2,0.4,76.75,68.32
0.4,0.3,0.3,71.68,85.2
0.4,0.4,0.2,73.17,84.29
0.4,0.5,0.1,74.46,82.34
0.4,0.6,0.0,75.33,80.4
0.5,0.0,0.5,76.57,65.02
0.5,0.1,0.4,75.77,69.42
0.5,0.2,0.3,69.94,87.71
0.5,0.3,0.2,70.88,86.92
0.5,0.4,0.1,72.12,85.74
0.5,0.5,0.0,73.85,83.65
0.6,0.0,0.4,69.52,85.79
0.6,0.1,0.3,69.21,88.36
0.6,0.2,0.2,69.87,87.87
0.6,0.3,0.1,70.68,87.06
0.6,0.4,0.0,71.52,86.35
0.7,0.0,0.3,68.76,88.55
0.7,0.1,0.2,69.25,88.39
0.7,0.2,0.1,69.83,87.96
0.7,0.3,0.0,70.52,87.3
0.8,0.0,0.2,68.95,88.47
0.8,0.1,0.1,69.29,88.3
0.8,0.2,-0.0,69.81,87.96
0.9,0.0,0.1,68.95,88.5
0.9,0.1,-0.0,69.34,88.24
1.0,0.0,0.0,69.06,88.45
